split,model,aggregation,n_patients,n_early,n_advanced,auroc
test,Deterministic EM-MMIL,prop_gt_0.5,11,5,6,1.0
test,Deterministic EM-MMIL,q99_prob,11,5,6,1.0
test,Deterministic EM-MMIL,mean_prob,11,5,6,0.9666666666666668
test,Deterministic EM-MMIL,q90_prob,11,5,6,0.9333333333333333
test,Deterministic EM-MMIL,median_prob,11,5,6,0.9
test,Deterministic EM-MMIL,prop_gt_0.9,11,5,6,0.8333333333333333
test,MCEM-MMIL,prop_gt_0.5,11,5,6,1.0
test,MCEM-MMIL,q99_prob,11,5,6,1.0
test,MCEM-MMIL,mean_prob,11,5,6,0.9666666666666668
test,MCEM-MMIL,q90_prob,11,5,6,0.9333333333333333
test,MCEM-MMIL,median_prob,11,5,6,0.9
test,MCEM-MMIL,prop_gt_0.9,11,5,6,0.8333333333333333
test,Naive inherited-label classifier,prop_gt_0.9,11,5,6,0.9666666666666668
test,Naive inherited-label classifier,q90_prob,11,5,6,0.9333333333333333
test,Naive inherited-label classifier,q99_prob,11,5,6,0.9333333333333333
test,Naive inherited-label classifier,mean_prob,11,5,6,0.9
test,Naive inherited-label classifier,prop_gt_0.5,11,5,6,0.8666666666666667
test,Naive inherited-label classifier,median_prob,11,5,6,0.8
train,Deterministic EM-MMIL,q90_prob,33,15,18,0.9111111111111111
train,Deterministic EM-MMIL,mean_prob,33,15,18,0.8925925925925926
train,Deterministic EM-MMIL,q99_prob,33,15,18,0.8814814814814815
train,Deterministic EM-MMIL,prop_gt_0.5,33,15,18,0.8740740740740741
train,Deterministic EM-MMIL,prop_gt_0.9,33,15,18,0.8574074074074075
train,Deterministic EM-MMIL,median_prob,33,15,18,0.825925925925926
train,MCEM-MMIL,q90_prob,33,15,18,0.9148148148148147
train,MCEM-MMIL,mean_prob,33,15,18,0.8962962962962964
train,MCEM-MMIL,prop_gt_0.5,33,15,18,0.8740740740740741
train,MCEM-MMIL,q99_prob,33,15,18,0.874074074074074
train,MCEM-MMIL,median_prob,33,15,18,0.8592592592592594
train,MCEM-MMIL,prop_gt_0.9,33,15,18,0.8574074074074075
train,Naive inherited-label classifier,prop_gt_0.5,33,15,18,0.9259259259259259
train,Naive inherited-label classifier,mean_prob,33,15,18,0.9111111111111111
train,Naive inherited-label classifier,prop_gt_0.9,33,15,18,0.9037037037037038
train,Naive inherited-label classifier,q90_prob,33,15,18,0.8851851851851852
train,Naive inherited-label classifier,q99_prob,33,15,18,0.874074074074074
train,Naive inherited-label classifier,median_prob,33,15,18,0.8703703703703703
